"Goal_8_Agire_secondo_le_regole","Goal_8_Rispettare_le_regole","Goal_8_Evitare_di_infrangere_le_regole","Goal_8_Seguire_le_leggi","Goal_8_Rispettare_il_contesto_in_cui_mi_trovo","Goal_8_Rispettare_un.autorita","Goal_8_Non_uscire_dagli_schemi","Goal_8_Agire_secondo_i_miei_valori","Goal_10_Avere_il_pieno_controllo","Goal_10_Avere_tutto_sotto_controllo","Goal_10_Avere_la_situazione_sotto_controllo","Goal_10_Evitare_il_caos","Goal_10_Non_fare_confusione","Goal_10_Tenere_tutto_sotto_controllo","Goal_10_Ritrovare_le_cose_quando_ne_ho_bisogno","Goal_10_Trovare_le_mie_cose","Goal_11_Ottenere_buoni_risultati","Goal_11_Superare_me_stesso","Goal_11_Avere_successo","Goal_11_Raggiungere_risultati_scolastici_accademici_o_lavorativi","Goal_11_Realizzarmi","Goal_11_Avere_un_futuro","Goal_11_Avere_sicurezza_economica","Goal_11_Ottenere_il_massimo","Goal_12_Fare_le_cose_per_bene","Goal_12_Fare_al_meglio_cio_che_faccio","Goal_12_Fare_un_ottimo_lavoro","Goal_12_Fare_le_cose_nel_migliore_dei_modi","Goal_12_Evitare_di_fare_errori","Goal_12_Non_sbagliare","Goal_12_Non_tralasciare_alcun_dettaglio","Goal_12_Non_commettere_sviste","Goal_13_Portare_a_termine_qualcosa","Goal_13_Portare_a_termine_un_progetto","Goal_13_Terminare_un_lavoro_in_tempo","Goal_13_Fare_tutto_nei_tempi_prestabiliti","Goal_13_Mantenere_gli_impegni_presi","Goal_13_Non_lasciare_le_cose_a_meta","Goal_13_Non_lasciare_un_lavoro_a_meta","Goal_13_Rispettare_un_impegno_preso","Goal_17_Non_correre_rischi","Goal_17_Non_mettermi_nei_guai","Goal_17_Non_mettermi_in_pericolo","Goal_17_Non_farmi_del_male","Goal_17_Proteggermi","Goal_17_Stare_al_sicuro","Goal_17_Stare_in_salute","Goal_17_Salvaguardarmi","Goal_25_Analizzare_bene_le_situazioni","Goal_25_Riordinare_le_idee","Goal_25_Prevedere_le_conseguenze_delle_mie_azioni","Goal_25_Valutare_tutte_le_opzioni_prima_di_prendere_una_decisione","Goal_25_Prendere_buone_decisioni","Goal_25_Prendere_decisioni_giuste","Goal_25_Trovare_la_soluzione_migliore_quando_ho_un_problema","Goal_25_Non_lasciare_nulla_al_caso","Goal_16_Evitare_di_fare_qualcosa","Goal_16_Evitare_un_compito_faticoso","Goal_16_Evitare_un_impegno","Goal_16_Far_vedere_che_qualcosa_non_mi_interessa","Goal_16_Far_capire_a_qualcuno_che_non_puo_contare_su_di_me","Goal_16_Non_assumermi_responsabilita","Goal_16_Non_fare_cose_che_non_ho_voglia_di_fare","Goal_16_Dedicare_il_mio_tempo_solo_a_cio_che_mi_piace_fare","Goal_26_Allontanare_pensieri_problematici","Goal_26_Non_pensare","Goal_26_Non_ragionare_troppo","Goal_26_Distrarmi_dai_problemi","Goal_26_Essere_meno_razionale","Goal_26_Evitare_di_pensare_troppo","Goal_26_Non_pensare_alle_conseguenze_di_cio_che_faccio","Goal_26_Non_preoccuparmi_di_cio_che_faccio","HEXACO_H","HEXACO_E","HEXACO_X","HEXACO_A","HEXACO_C","HEXACO_O","HEXACOC_ORD","HEXACOC_DIL","HEXACOC_PRU","HEXACOC_PER","IPIP_C","IPIP_C_or","IPIP_C_ac","IPIP_C_ca","IPIP_C_du","IPIP_C_ef","IPIP_C_di","ACC_C","ACC_od","ACC_tp","ACC_ci","ACC_ai","SCS","CFC","FU","G08Rules","G10Control","G11Realiz","G12DoWell","G13Accomplish","G17Safety","G25Think","G16Avoid","G26DoNotThink"
1,2,2,2,5,3,1,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,2,3,5,5,4,3,5,3,2,5,2,2,3,3,3,3,5,3,4,5,3,4,5,4,5,4,3,3,2,4,2,5,3,3,2,2,3,4,3,3,3,2,2,2.1,3.3,1.5,3,2.9,3.25,3.625,1.875,3.25,3.13333333333333,3,3.8,2.7,2.9,3.5,2.9,3.54545454545455,3.6,3.9,2.1,4.5,3,3.25,2.4,2.625,4.625,5,3.875,4,3,4.25,3.125,2.75
5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,3,2,1,1,1,1,3,5,4,3,3,4,5,5,1,3,2.4,4.9,3.6,3.1,3.5625,3.3,3.875,3.125,3,4.25,3.51666666666667,3.3,3.7,3,4.4,3.4,3.3,3.52272727272727,2.7,3.2,3.4,4.5,3.23076923076923,3.91666666666667,4,4.75,4.875,5,4.625,4.75,5,4.625,2.125,3.5
3,4,4,5,5,4,4,5,5,4,5,2,4,3,4,4,5,5,4,5,5,5,4,4,5,4,4,4,4,3,4,4,5,4,5,5,5,5,5,5,4,4,4,2,4,5,4,5,5,4,4,3,4,4,5,5,2,2,3,3,1,2,2,3,5,3,3,5,3,4,2,4,3.2,3.5,4,3.8,3.15625,3.7,3.125,3,2.875,3.625,3.41666666666667,3.2,3.8,2.6,4.1,3.3,3.5,3.70454545454545,3.6,3.6,3.1,4.6,3.30769230769231,2.91666666666667,3.8,4.25,3.875,4.625,4,4.875,4,4.25,2.25,3.625
2,3,2,2,4,2,1,5,3,4,4,3,4,4,3,3,5,5,5,5,5,5,3,4,4,5,3,4,3,2,4,3,3,3,4,3,3,3,4,4,4,4,2,4,4,4,5,4,3,4,2,2,4,5,5,2,3,2,2,3,1,2,4,5,3,4,4,3,4,3,3,3,3.6,2.6,3.4,4,3.15625,4.9,3.25,3.875,2.375,3.125,3.36666666666667,3.2,3.9,2.5,3.5,3.6,3.5,3.25,2.7,3.2,2.9,4,3.23076923076923,2.75,3.4,2.625,3.5,4.625,3.5,3.375,3.875,3.375,2.75,3.375
5,4,5,5,4,4,2,4,3,3,4,3,4,3,4,3,4,5,4,3,5,4,5,2,4,3,4,3,2,2,2,3,4,4,4,4,4,4,4,5,3,4,5,4,4,4,5,5,4,5,4,3,5,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,1,3,2,2,4.6,3.5,2.9,3.8,2.65625,2,2,3,2.75,2.875,2.85,2.5,2.9,3.2,3.6,2.6,2.3,3,2.1,2.2,3.9,3.9,2.15384615384615,3.16666666666667,3.6,4.125,3.375,4,2.875,4.125,4.25,3.75,2.75,2.125
2,4,4,5,5,5,4,5,5,5,5,4,5,5,4,5,4,4,4,4,3,5,3,4,3,4,3,3,5,5,3,3,4,4,3,4,4,3,3,4,3,3,5,5,3,3,5,5,4,5,3,3,4,3,5,3,3,3,3,3,3,3,4,4,4,2,3,3,3,3,2,3,2.9,3.2,4,1.9,3.3125,2.9,4.25,3.75,2.5,2.75,3.25,3.6,3.4,3,3.5,3.1,2.9,3.84090909090909,3.8,3.3,3.6,4.6,3.23076923076923,3.33333333333333,1.8,4.25,4.75,3.875,3.625,3.625,4,3.75,3.25,2.875
5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,2,2,2,2,1,2,3,5,4,2,3,3,4,4,2,1,3.2,3.7,3.6,2.5,3.78125,4.2,4,3.875,3.375,3.875,3.83333333333333,4,4.4,3.4,4.2,3.9,3.1,4.09090909090909,4,4,3.9,4.4,3.61538461538462,3,4.8,4.875,5,5,4.875,5,5,4.5,2.375,2.875
5,2,4,5,2,4,4,4,4,3,5,3,5,4,5,2,3,4,4,4,4,3,4,4,3,4,2,4,4,4,3,3,3,2,4,3,5,4,4,3,2,2,4,3,3,3,2,4,4,3,3,3,5,4,3,3,3,4,4,4,4,3,4,4,2,3,4,3,3,4,2,3,3,3,2.9,2.9,3.03125,3.2,2.875,2.875,3.125,3.25,3.06666666666667,3.3,3.2,2.8,3,2.7,3.4,3.34090909090909,2.8,3.3,3.7,3.7,3,2.83333333333333,3.4,3.75,3.875,3.75,3.375,3.5,2.875,3.5,3.75,3
3,3,3,3,4,3,2,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,3,4,3,4,3,3,4,3,4,4,3,3.2,3.6,3.3,2.4,2.65625,3.5,2.625,3.125,2.25,2.625,3.13333333333333,2.7,3.1,3,3.5,3.2,3.3,2.97727272727273,2.3,3.1,2.5,3.8,3,3.41666666666667,3,3.125,3.875,3.875,3.5,4,3.5,3.75,3.25,3.5
2,4,3,3,3,3,2,3,2,3,4,4,3,4,4,3,3,2,3,3,3,2,3,3,3,4,3,4,2,3,3,3,3,2,4,3,5,3,3,3,3,4,3,2,3,3,3,3,4,2,3,4,3,3,3,2,4,3,4,3,3,3,3,4,3,3,4,3,2,3,2,5,3.2,2.9,3.1,3.2,3.40625,2.4,4,3.375,3,3.25,3.35,3.7,3.1,3.2,4.1,2.7,3.3,3.79545454545455,4.2,3.4,3.6,3.9,2.76923076923077,3.33333333333333,3.6,2.875,3.375,2.75,3.125,3.25,3,3,3.375,3.125
4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,4,5,5,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,3,5,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,3,3,1,4,4,4,1,3,4,3,3,3,3,3.2,2.5,3.3,2.5,3.375,2.4,2.875,4.125,2.125,4.375,3.35,2.6,3.6,3.1,4.2,3.4,3.2,3.72727272727273,3.6,3.3,3.1,4.7,3.07692307692308,3,3,4,4,4.125,4.25,4.125,4,3.875,2.875,3
4,3,4,3,4,3,4,5,5,5,5,5,3,5,5,5,3,5,5,4,5,5,5,4,5,5,4,5,5,5,5,3,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,3,5,1,5,3,5,5,5,5,4,4,5,2,5,1,5,3,3.3,2.9,2.9,3.53125,3,5,3,3.375,2.75,3.5,4.8,3.6,3.1,4,3.2,2.3,3.63636363636364,4.2,3.2,3,3.9,3.23076923076923,3.16666666666667,3.8,3.75,4.75,4.5,4.625,4.5,5,4.75,4,3.875
4,5,4,4,5,5,2,4,4,4,5,5,3,4,4,5,4,2,3,4,4,5,5,3,4,3,4,4,3,3,3,3,4,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,4,4,4,5,5,5,4,3,3,3,3,3,4,1,3,4,3,2,2,4,2,4,2,1,3.2,4,1.8,3.3,3.53125,3.7,4.125,2.25,4,3.75,3.53333333333333,4.2,3,4,4.3,3,2.7,3.90909090909091,3.7,2.7,4.6,4.4,3.46153846153846,3.08333333333333,4.2,4.125,4.25,3.75,3.375,4.375,4.375,4.25,3,2.5
3,4,3,3,4,4,2,4,3,4,4,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,2,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,2,4,4,4,2,4,3,3,3,3,3,3,3,4,2.8,3,3.2,3.4,2.96875,2.7,2.875,3.25,3.25,2.5,3.23333333333333,2.7,2.9,3.5,3.6,3.5,3.2,3.43181818181818,3.2,3.3,3.4,3.7,3.07692307692308,3.16666666666667,3,3.375,3.625,3.75,3.75,3.5,3.75,3.625,3.375,3.125
4,4,4,3,4,4,3,4,5,4,4,3,4,3,3,4,4,3,4,4,5,5,3,4,3,4,4,4,3,3,4,4,4,4,4,4,5,4,4,3,4,4,4,5,4,4,4,3,3,3,3,4,4,4,3,3,2,3,4,3,1,2,2,4,4,2,3,4,3,3,3,3,2.7,3.1,3,3.2,3.09375,2.7,2.5,3.5,3,3.375,3.31666666666667,2.8,3.8,3.4,3.5,3.3,3.1,3.52272727272727,2.7,3.6,3.3,4.3,2.92307692307692,2.75,3.2,3.75,3.75,4,3.625,4,4,3.375,2.625,3.125
1,2,2,1,4,2,1,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,5,5,4,3,4,5,5,4,3,4,3,5,5,4,5,5,5,5,4,4,5,5,5,3,2,2,3,3,3,1,5,5,5,1,5,4,5,5,3,2,2.3,3.5,4.1,2.4,3.53125,3.3,4.5,4,1.5,4.125,3.81666666666667,4.9,4.3,3.1,3.9,3.7,3,3.68181818181818,4.6,3.6,1.9,4.7,2.15384615384615,3.16666666666667,3.8,2.25,4.75,5,4.5,4.375,4.25,4.5,3,3.75
3,3,3,2,5,4,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,4,3,4,3,5,3,3,4,5,5,5,5,5,5,5,3,4,1,2,2,3,1,3,4,5,1,1,4,3,1,5,3,2.5,4,2,2.5,4.1875,5,4.375,4.125,4.125,4.125,4.2,4.8,4.6,4.3,4.2,3.6,3.7,3.86363636363636,4.7,2.9,3.9,4.1,2.76923076923077,3.83333333333333,4,3.375,4.75,5,4.875,3.75,3.625,4.75,2.5,2.875
4,4,5,4,4,4,3,4,4,4,4,4,3,3,3,4,5,4,2,4,3,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,5,5,4,4,3,3,4,4,4,4,4,5,3,3,4,4,4,4,3,4,3,4,3,4,4,3,3,3,3,3,3,3.3125,3,3.375,3.125,3.375,3.375,3.01666666666667,3,3,3,3.1,3,3,3.40909090909091,2.9,3.1,3.8,3.8,3,3,4,4,3.625,4,4.125,3.875,4.375,3.75,3.75,3.5
4,4,3,4,5,5,3,5,3,3,3,2,5,3,5,5,4,5,4,5,5,5,5,4,4,3,4,3,4,4,2,3,4,4,4,4,5,3,3,5,2,3,4,4,5,4,4,4,5,3,5,4,5,3,4,3,3,3,1,3,5,1,5,4,2,2,2,2,2,2,1,1,3.5,3.5,3,3.5,2.4375,2.9,1.75,3.125,2.125,2.75,3,1.5,3.2,3.3,4.2,3,2.8,3.09090909090909,1.7,2.8,3.5,4.5,2.61538461538462,4.16666666666667,3,4.125,3.625,4.625,3.375,4,3.75,4,3.125,1.75
4,5,3,5,4,5,3,5,5,4,4,4,3,4,4,3,5,4,4,5,5,5,5,4,5,5,5,4,5,5,4,3,4,4,3,3,4,3,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,3,1,3,2,2,2,5,2,2,2,2,3,3,2,1,1,2,2,3.3,3.2,2.9,3.625,4.1,2.5,3.875,3.75,4.375,3.78333333333333,2.3,4.5,4.1,4.7,4.1,3,4.15909090909091,3.7,3.7,4.6,4.5,3.15384615384615,3.83333333333333,3.8,4.25,3.875,4.625,4.5,3.625,4.5,3.875,2.375,2
3,4,3,4,4,4,2,5,3,4,5,2,2,3,4,4,4,3,3,4,4,5,4,4,4,4,3,4,4,3,3,4,4,4,4,4,5,4,4,4,3,3,3,2,4,4,4,4,5,4,5,3,4,4,4,4,2,1,2,3,1,1,2,2,3,2,2,4,3,2,3,2,3.5,3.5,2.4,2.9,3.25,3.7,2.75,4,2.5,3.75,3.45,2.9,4,3,4.2,3.1,3.5,3.70454545454545,3.4,4,2.7,4.7,2.76923076923077,3.91666666666667,4,3.625,3.375,3.875,3.625,4.125,3.375,4.125,1.75,2.625
5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5,5,4,3,4,4,4,4,4,3,4,3,5,5,5,5,4,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5,1,2,2,1,1,2,2,4,5,2,2,4,2,4,4,4,2.9,3.6,2.7,2.9,3.0625,2.7,2.5,3.25,3.375,3.125,3.28333333333333,2.5,3.3,3.5,4.2,3.1,3.1,3.72727272727273,2.9,3.4,4.2,4.3,2.92307692307692,3.5,4,4.75,4.75,4.125,3.75,4.875,4.125,4.25,1.875,3.375
3,4,3,3,3,3,2,3,3,4,4,3,3,3,4,4,4,3,4,4,5,5,4,3,4,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,4,4,4,3,5,4,4,3,3,4,4,3,4,3,3,2,2,2,1,2,3,3,3,2,3,4,3,3,3,2,3.1,3.8,3.5,2.1,3.28125,2.9,3.75,3,3.125,3.25,3.2,4.2,3.4,3.1,3.2,2.8,2.5,3.29545454545455,3.5,3.4,2.8,3.6,2.69230769230769,3.66666666666667,2.8,3,3.5,4,3.25,3.375,3.75,3.5,2.25,2.875
3,4,4,4,4,4,2,5,4,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,2,3,5,5,5,5,5,4,2,5,2,4,4,3,4,3,5,5,4,5,4,3,5,5,5,3,1,1,1,4,4,1,2,2,3,1,2,2,2,3,1,1,3.2,3.5,4.4,2.1,3.875,3.3,4.25,4,3.5,3.75,4.33333333333333,4.8,4.8,3.7,4.7,4.1,3.9,4.45454545454545,4.8,4,4.2,4.8,3.46153846153846,3.66666666666667,4.2,3.75,4.375,5,4,4.5,3.75,4.25,2,1.875
2,3,2,4,3,4,2,5,3,3,3,4,4,3,5,4,5,5,5,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,4,3,5,4,4,4,3,4,4,4,4,4,2,3,4,3,5,2,2,5,5,3,3,3,5,3,3,2,3,2.8,3.7,2.6,2.4,2.59375,3,2.375,2.25,2.5,3.25,2.6,2.1,3.1,2.6,3.2,3,1.6,2.75,2.9,2.6,2.7,3.1,2.07692307692308,2.66666666666667,2.8,3.125,3.625,4.625,4.125,3.625,3.875,3.625,3.625,3.125
4,4,4,5,4,4,2,5,4,4,4,3,3,4,4,4,5,4,4,5,5,5,3,4,4,4,5,5,4,3,4,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,1,2,2,2,1,1,2,2,3,2,2,4,2,2,2,2,4.8,3.6,3.4,3.1,3.5,4.5,3.5,3.75,3.125,3.625,3.56666666666667,3.3,3.8,3.6,3.7,3.5,3.5,3.56818181818182,3.6,3.8,3,3.9,3.15384615384615,3.83333333333333,4,4,3.75,4.375,3.875,4,3.75,4.125,1.625,2.375
5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,4,2,3,3,5,4,3,3,5,3,4,3,3,3.3,3.9,3.7,2,3.75,3.1,3.875,3.625,3.375,4.125,3.86666666666667,3.8,4.5,3.3,4.2,4.1,3.3,4.09090909090909,3.6,3.4,4.7,4.5,3.38461538461538,3.33333333333333,4,4.875,5,5,5,5,5,4.875,3.125,3.5
5,5,5,5,5,5,3,4,4,3,4,3,3,3,4,3,3,3,1,5,5,5,5,3,4,2,4,4,3,3,3,3,4,5,5,4,5,4,4,5,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,3,2,2,2,1,1,1,1,3,4,3,2,2,3,3,2,2,3.4,2.6,3.9,3.5,3.4375,2,3.125,3.75,3.5,3.375,3.61666666666667,2.8,3.8,3.6,4.5,3.3,3.7,3.95454545454545,3.1,3.8,4,4.6,3.69230769230769,2.91666666666667,4.2,4.625,3.375,3.75,3.25,4.5,4.5,4,1.625,2.625
3,4,4,4,3,5,2,4,3,4,5,2,2,4,5,5,5,5,4,4,5,4,4,4,4,5,4,5,3,2,4,2,5,4,5,5,4,4,4,5,4,3,1,4,4,4,5,4,4,4,4,4,5,4,4,4,2,2,2,2,2,1,2,3,4,2,2,3,3,2,2,1,3.3,3.3,2.6,2.9,3.25,2.5,3,3.375,3.25,3.375,3.18333333333333,2.8,3.2,3.5,4.1,3.1,2.4,3.70454545454545,3.6,3.1,3.8,4.3,3.23076923076923,3.58333333333333,3.2,3.625,3.75,4.375,3.625,4.5,3.625,4.125,2,2.375
4,4,5,5,4,4,3,3,4,4,4,3,4,4,4,4,5,5,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,2,2,2,2,2,1,2,2,2,4,2,2,4,4,3,2,4,3.2,3.4,3,2.8,3.71875,2.4,3.75,3.5,3.625,4,3.58333333333333,3.1,3.6,3.7,4,3.8,3.3,3.61363636363636,3.2,3.1,3.5,4.5,3.23076923076923,3.25,3.6,4,3.875,4.875,4.375,4.375,4.875,3.875,1.875,3.125
4,4,4,5,3,4,1,4,4,4,3,3,2,3,3,3,4,4,2,4,4,4,4,4,3,4,3,4,3,2,3,3,4,4,4,4,4,2,4,4,3,4,3,5,3,3,5,3,4,4,3,3,4,3,4,4,1,2,1,2,1,2,2,3,3,2,2,1,2,2,1,2,3.5,3.3,3.5,3.4,3.96875,3.1,4.625,4,3.625,3.625,3.85,4,3.7,3.9,4.1,3.8,3.6,4.13636363636364,4,4.1,4,4.4,3.84615384615385,3.08333333333333,3.4,3.625,3.125,3.75,3.125,3.75,3.625,3.625,1.75,1.875
5,5,4,4,4,5,3,4,4,4,4,4,3,4,3,3,5,4,5,5,4,4,5,4,5,4,5,4,5,5,4,4,5,4,5,5,5,3,4,5,5,4,4,5,4,5,4,4,4,3,3,4,5,5,4,3,2,2,2,1,2,1,3,4,4,2,2,2,3,2,3,4,3.8,3.5,2.4,3.1,3.40625,2.8,3.125,3.375,3.75,3.375,3.4,3.3,3.3,3.4,4.1,3.2,3.1,4.02272727272727,3.8,3.6,3.9,4.5,3.53846153846154,3.5,3.6,4.25,3.625,4.5,4.5,4.5,4.375,3.875,2.125,2.75
4,4,4,4,4,3,2,5,5,5,5,3,3,5,3,4,4,3,4,5,5,5,3,3,4,4,4,4,3,3,5,2,3,4,4,4,4,4,3,4,4,4,4,5,5,4,5,5,5,4,3,3,4,4,5,5,2,2,2,3,1,3,4,3,5,2,2,2,5,2,2,2,3.6,2.6,3.3,1.4,3.8125,3.8,4.5,4,2.5,4.25,3.58333333333333,4.3,3.4,2.9,3.8,3.3,3.8,3.43181818181818,4.4,3,2.3,4,3.38461538461538,3.58333333333333,4.2,3.75,4.125,4,3.625,3.75,4.5,4.125,2.5,2.75
4,4,4,4,5,3,4,5,5,4,5,5,5,4,5,4,4,3,4,2,4,2,4,1,5,5,5,5,4,4,5,5,4,4,4,4,4,4,3,4,3,4,4,1,3,3,2,2,3,3,4,4,4,3,3,5,3,2,4,5,1,2,3,4,2,1,4,4,2,2,3,2,2.7,2.6,2.5,3.1,3.125,3.8,2.875,3.125,3.125,3.375,3.41666666666667,3.6,3.6,2.9,4,3.4,3,3.61363636363636,4.1,3,3,4,3,3.16666666666667,5,4.125,4.625,3,4.75,3.875,2.75,3.625,3,2.5
2,2,2,2,3,2,1,5,5,4,3,3,4,3,4,5,4,4,5,4,5,5,3,4,3,5,4,4,4,2,4,4,4,3,5,4,4,4,4,3,1,1,2,1,1,4,2,1,3,4,4,4,3,3,3,4,3,2,1,4,3,2,2,2,3,3,2,5,2,3,4,4,3.2,2.3,3.4,3.5,3.375,3,2.125,4.125,3.5,3.75,3.35,2.5,3.8,3.3,3.9,3.7,2.9,3.29545454545455,2.5,3.3,3.2,4.2,2.69230769230769,3.5,3.6,2.375,3.875,4.25,3.75,3.875,1.625,3.5,2.375,3.25
4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,2,5,5,5,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,2,4,3,3,2,3,2,3,2,3,2,3.8,3.2,4,2.1,3.375,1.5,3.5,3.375,3.25,3.375,3.43333333333333,3.8,3.6,3.2,3.6,3.1,3.3,3.75,3.9,3.6,3.5,4,3.53846153846154,3.33333333333333,3.8,4,3.625,4.25,3.375,4.5,4,3.625,3,2.5
3,4,3,5,4,1,4,3,3,3,3,3,4,4,4,3,5,4,3,3,4,5,2,5,4,4,3,3,4,3,4,1,4,2,4,4,3,2,3,2,1,4,4,3,3,3,4,3,4,3,2,3,3,3,4,3,1,3,2,3,3,2,3,4,2,4,2,3,3,5,4,4,2.8,2.8,3.8,1.9,2.875,2.9,2.625,3,2.875,3,3.08333333333333,2.9,3.2,2.8,3.4,3.6,2.6,2.86363636363636,2.7,3.5,2.1,3.5,3.15384615384615,3.91666666666667,2.6,3.375,3.375,3.875,3.25,3,3.125,3.125,2.625,3.375
4,3,1,5,5,4,2,3,4,5,5,4,5,5,4,4,5,4,5,5,5,5,4,5,5,5,4,4,3,4,3,4,5,5,5,3,5,3,1,5,3,4,3,2,4,3,4,5,3,5,4,3,4,5,5,5,2,2,1,3,2,3,5,4,4,1,1,1,4,3,1,1,2.8,3.8,2.7,2.5,3.34375,3.1,3.5,4.5,2.375,3,3.86666666666667,3.7,4.7,2.9,4.6,4.1,3.2,3.70454545454545,3.7,3.9,2.4,4.7,3.15384615384615,4,4.2,3.375,4.5,4.75,4,4,3.5,4.25,2.75,2
4,5,5,4,5,4,3,5,3,4,3,3,4,4,4,4,4,2,4,5,5,5,5,4,4,5,4,3,3,3,4,3,5,5,4,4,4,3,4,4,4,5,4,5,5,4,5,4,4,4,4,4,3,4,4,4,3,2,4,3,4,4,4,4,4,4,3,3,4,4,2,4,4,3.3,3,2.4,3.4375,3.2,4.5,2.625,3,3.625,3.6,4.5,3,3.9,3.9,3.5,2.8,3.65909090909091,3.7,3.1,3.9,4.1,3.23076923076923,2.91666666666667,3.2,4.375,3.625,4.25,3.625,4.125,4.5,3.875,3.5,3.5
3,2,3,3,4,4,2,4,3,3,2,3,4,2,4,4,4,4,3,4,5,5,4,4,4,5,4,4,3,3,4,3,5,4,4,3,5,4,4,5,3,4,4,5,5,4,4,4,4,5,4,4,4,4,5,4,3,2,3,3,5,3,3,4,3,2,3,3,4,4,2,4,3.5,3.6,3.7,3,3.28125,3.4,3.625,3.5,2.625,3.375,3.35,3.1,3.7,3,3.5,3.4,3.4,3.36363636363636,3.1,3.3,2.9,4,3.07692307692308,3.5,4.2,3.125,3.125,4.125,3.75,4.25,4.125,4.25,3.25,3.125
5,5,5,5,5,5,3,5,4,3,4,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,2,1,1,1,1,1,2,3,3,1,2,3,2,2,1,1,4.6,4.3,4,3.4,4.53125,4.4,5,4.875,4.375,3.875,3.26666666666667,3.4,3.5,2.9,3.2,3,3.6,4.54545454545455,4.8,4.2,4.1,4.9,4.23076923076923,4.33333333333333,4.6,4.75,4.25,4.75,4.625,4.875,4.875,4.625,1.5,1.875
4,4,4,4,4,5,3,5,4,4,4,3,3,4,4,3,4,5,4,5,5,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,3,4,4,3,5,4,4,3,2,2,2,1,1,1,2,3,3,2,3,2,2,2,2,1,3.4,4.1,3.6,2.2,3.65625,3.2,3.875,3.25,3.5,4,3.55,3.3,3.8,3.8,4.3,3.3,2.8,3.54545454545455,3.5,3.3,3.5,3.8,3.53846153846154,3.66666666666667,3.6,4.125,3.625,4.625,3.875,4,4,3.75,1.75,2.125
